npa_plz,town,state,latitude,longitude
1000,Blekinge,Blekinge,56.16156,15.58661
1001,Dalarna,Dalarna,60.602778,15.656111
1002,Gavleborg,Gavleborg,60.674722,17.144444
1003,Gotland,Gotland,57.628889,18.307222
1004,Halland,Halland,56.658333,12.900278
1005,Jamtland,Jamtland,63.158056,14.679167
1006,Jonkoping,Jonkoping,57.78145,14.15618
1007,Kalmar,Kalmar,56.669444,16.321667
1008,Kronoberg,Kronoberg,56.889167,14.802778
1009,Norrbotten,Norrbotten,65.584819,22.1567026
1010,Orebro,Orebro,59.266944,15.196389
1011,Ostergotland,Ostergotland,58.409444,15.625556
1012,Skane,Skane,55.6087551,13.0004841
1013,Sormland,Sormland,58.7556833,16.9947833
1014,Stockholm,Stockholm,59.334591,18.06324
1015,Uppsala,Uppsala,59.85882,17.63889
1016,Varmland,Varmland,59.3875,13.51
1017,Vasterbotten,Vasterbotten,63.828333,20.270556
1018,Vasternorrland,Vasternorrland,62.632222,17.938056
1019,Vastmanland,Vastmanland,59.60746,16.55215
1020,Vastra Gotaland,Vastra Gotaland,57.70887,11.97456
