date,state,npa_plz,longitude,latitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-04-02,Blekinge,29060,56.16156,15.58661,24,2,1,21,0,1
2020-04-02,Dalarna,77463,60.602778,15.656111,4,0,1,102,0,0
2020-04-02,G�vleborg,79026,60.674722,17.144444,1,0,0,86,0,0
2020-04-02,Gotland,62470,57.628889,18.307222,32,0,4,11,0,2
2020-04-02,Halland,26695,56.658333,12.900278,19,0,2,103,0,0
2020-04-02,Jamtland,82046,63.158056,14.679167,2,0,0,86,0,0
2020-04-02,J�nk�ping,55001,57.78145,14.15618,13,1,1,126,0,0
2020-04-02,Kalmar,36023,56.669444,16.321667,18,0,4,34,0,0
2020-04-02,Kronoberg,28501,56.889167,14.802778,60,4,5,34,0,0
2020-04-02,Norrbotten,93081,65.584819,22.1567026,11,0,2,59,0,0
2020-04-02,�rebro,61010,59.266944,15.196389,38,2,2,131,0,1
2020-04-02,�sterg�tland,57060,58.409444,15.625556,19,0,1,418,0,0
2020-04-02,Sk�ne,20002,55.6087551,13.0004841,2,0,0,284,0,0
2020-04-02,S�dermanland,63223,58.7556833,16.9947833,16,1,1,239,0,0
2020-04-02,Stockholm,10005,59.334591,18.06324,3,0,0,1979,0,0
2020-04-02,Uppsala,74010,59.85882,17.63889,13,1,3,183,0,0
2020-04-02,V�rmland,65101,59.3875,13.51,19,2,2,50,0,0
2020-04-02,Vasterbotten,83081,63.828333,20.270556,2,0,0,55,0,0
2020-04-02,V�sternorrland,84012,62.632222,17.938056,86,1,9,46,0,1
2020-04-02,Vastmanland,64045,59.60746,16.55215,42,1,7,79,0,1
2020-04-02,Vastra Gotaland,66010,57.70887,11.97456,42,1,7,399,0,1
2020-04-05,Stockholm,10005,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10012,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10026,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10028,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10029,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10031,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10040,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10041,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10044,59.3326,18.0649,2,0,0,0,0,0
2020-04-05,Stockholm,10052,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10054,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10055,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10061,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10064,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10073,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10074,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10101,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10110,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10120,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10121,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10122,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10123,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10124,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10125,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10126,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10127,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10128,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10129,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10130,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,10131,59.3326,18.0649,0,0,0,0,0,0
